,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
66,서울 동대문,5.0,22.0,8.0,2.0,0.0067157720790616176,100.0,0.00847457627118644,0.00869221651521138,0.0061162079510703364,0.013071895424836602,0.8946581353086139,0.3039626627055359,0.5614351677531264,0.20226432801400468,1.117745382883092
67,서울 동작,4.0,20.0,8.0,0.0,0.007644860667487759,100.0,0.006779661016949152,0.007902015013828527,0.0061162079510703364,0.0,2.4004540310321505,0.4836319863027707,0.0,0.41658785674392546,0.41658785674392546
68,서울 마포,7.0,34.0,32.0,7.0,0.007237227897263034,100.0,0.011864406779661017,0.013433425523508494,0.024464831804281346,0.0457516339869281,0.3602834750810913,0.14183409677154607,0.9193967969266704,0.34433519464299034,2.77559219105157
69,서울 서대문,4.0,19.0,21.0,1.0,0.005987586283572132,100.0,0.006779661016949152,0.0075069142631371,0.016055045871559634,0.006535947712418301,0.6324013694651583,0.2252535641808406,0.21541194782414444,0.7710422928738722,1.5812742481024848
70,서울 서초,11.0,28.0,45.0,8.0,0.008373220120789041,100.0,0.01864406779661017,0.011062821019359936,0.034403669724770644,0.05228758169934641,0.34267458743484935,0.1907242054533378,0.8155845603204173,0.4195852416455822,2.91822048283672
71,서울 성동,4.0,24.0,9.0,0.0,0.005947220489985549,100.0,0.006779661016949152,0.009482418016594232,0.006880733944954129,0.0,2.3634221528749717,0.4143248826925658,0.0,0.423115269010894,0.423115269010894
72,서울 성북,6.0,28.0,11.0,2.0,0.008410209234701795,100.0,0.010169491525423728,0.011062821019359936,0.008409785932721712,0.013071895424836602,0.988391559830725,0.3124795520805475,0.4409908912068599,0.24515318762553562,1.011744778730469
73,서울 송파,11.0,42.0,29.0,11.0,0.01286293059636273,100.0,0.01864406779661017,0.016594231529039907,0.02217125382262997,0.0718954248366013,0.3746097962415085,0.16847925581752746,1.2523251078249378,0.20694934294501097,2.6694443392380123
74,서울 양천,4.0,23.0,14.0,1.0,0.008956594596552287,100.0,0.006779661016949152,0.009087317265902806,0.010703363914373088,0.006535947712418301,0.9203951193847725,0.2575210462601442,0.2459865839853919,0.47776633805034213,1.0864898986735594
75,서울 영등포,6.0,34.0,35.0,3.0,0.007096391411895703,100.0,0.010169491525423728,0.013433425523508494,0.026758409785932722,0.0196078431372549,0.5090537958293472,0.17005930114638573,0.3893432593932468,0.6192533912996604,1.9644289232158785
