,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
372,경기도,오산시,빽다방,오산시청점,127.0760408,37.14950192,경기도 오산시 운암로 35,오산,1,빽다방
373,경기도,안양시,빽다방,안양1번가점,126.9218782,37.39908774,경기도 안양시,안양,1,빽다방
374,경기도,고양시,빽다방,화정역점,126.8318235,37.63238493,경기도 고양시,고양,1,빽다방
375,경기도,안양시,빽다방,평촌역금강점,126.9646685,37.39608216,경기도 안양시,안양,1,빽다방
376,경기도,안산시,빽다방,안산중앙역점,126.8377024,37.3170956,경기도 안산시,안산,1,빽다방
377,경기도,성남시,빽다방,동서울대점,127.1268291,37.45914132,경기도 성남시,성남,1,빽다방
378,경기도,성남시,빽다방,정자카페점,127.1064874,37.37031468,경기도 성남시,성남,1,빽다방
379,강원도,원주시,빽다방,원주중앙1호점,127.9479393,37.34983484,강원도 원주시 원일로115번길 6,원주,1,빽다방
380,경기도,부천시,빽다방,부천신중동점,126.7723609,37.50170922,경기도 부천시 중동로254번길 64,부천,1,빽다방
381,경기도,안양시,빽다방,안양평촌학원가점,126.9604431,37.38392574,경기도 안양시,안양,1,빽다방
382,경기도,군포시,빽다방,산본역점,126.9319453,37.35900058,경기도 군포시 산본로323번길 16-5,군포,1,빽다방
383,경기도,광명시,빽다방,광명철산점,126.8695399,37.47575602,경기도 광명시 오리로856번길 25,광명,1,빽다방
384,경기도,수원시,빽다방,수원인계중앙점,127.0334064,37.26460168,경기도 수원시,수원,1,빽다방
385,강원도,삼척시,빽다방,삼척대학로점,129.1631787,37.44328911,강원도 삼척시 대학로 23,삼척,1,빽다방
386,충청북도,청주시,빽다방,충북대중문점,127.4585041,36.63391858,충청북도 청주시,청주,1,빽다방
387,경기도,광주시,빽다방,경기광주이마트점,127.2612064,37.40963341,경기도 광주시 광주대로 30,광주,1,빽다방
